"Name","Series","Family","Number","Suffix","Dash","At","Star","File","Nd","Vd"
"H-ZBAF1","H","ZBAF","1","",,,,"CDGM-ZEMAX202409.txt","1.6223","53.170869"
"H-ZBAF3","H","ZBAF","3","",,,,"CDGM-ZEMAX202409.txt","1.65691","51.12138"
"H-ZBAF4","H","ZBAF","4","",,,,"CDGM-ZEMAX202409.txt","1.66426","35.484251"
"H-ZBAF5","H","ZBAF","5","",,,,"CDGM-ZEMAX202409.txt","1.67103","47.288963"
"H-ZBAF16","H","ZBAF","16","",,,,"CDGM-ZEMAX202409.txt","1.66672","48.421731"
"H-ZBAF20","H","ZBAF","20","",,,,"CDGM-ZEMAX202409.txt","1.70154","41.148468"
"H-ZBAF21","H","ZBAF","21","",,,,"CDGM-ZEMAX202409.txt","1.72341","37.991564"
"H-ZBAF50","H","ZBAF","50","",,,,"CDGM-ZEMAX202409.txt","1.65844","50.852265"
"H-ZBAF52","H","ZBAF","52","",,,,"CDGM-ZEMAX202409.txt","1.67003","47.19506"
"H-ZF1","H","ZF","1","",,,,"CDGM-ZEMAX202409.txt","1.64769","33.840317"
"H-ZF1A","H","ZF","1","A",,,,"CDGM-ZEMAX202409.txt","1.64769","33.887993"
"H-ZF2","H","ZF","2","",,,,"CDGM-ZEMAX202409.txt","1.6727","32.171186"
"H-ZF3","H","ZF","3","",,,,"CDGM-ZEMAX202409.txt","1.71736","29.49911"
"H-ZF4A","H","ZF","4","A",,,,"CDGM-ZEMAX202409.txt","1.72825","28.318797"
"H-ZF4AGT","H","ZF","4","AGT",,,,"CDGM-ZEMAX202409.txt","1.72825","28.318797"
"H-ZF5","H","ZF","5","",,,,"CDGM-ZEMAX202409.txt","1.74","28.295649"
"H-ZF6","H","ZF","6","",,,,"CDGM-ZEMAX202409.txt","1.7552","27.530047"
